Iragarpenak Logistic Regression erabiliz,,
,,
Testua,Iragarpena,Benetazko Balioa
"Coronavirus Australia: Woolworths to give elderly, disabled dedicated shopping hours amid COVID-19 outbreak https://t.co/bInCA9Vp8P",Positive,Positive
"Me: I don't need to stock up on food, I'll just have Amazon deliver whatever I need #CoronaVirus Amazon: https://t.co/8YWaKFjExC",Postive,Positive
As many preparing for the uncertain times ahead with what are we going to do w the food we have bought We are going to have to get creative w o buying extra I ve set up a Facebook group called Stock Cupboard Cooking for ideas,Positive,Positive
"Was at the supermarket today. Didn't buy toilet paper. #Rebel
#toiletpapercrisis #covid_19 https://t.co/eVXkQLIdAZ",Neutral,Neutral
I may not have been the only person to spot the connection #charmincorona https://t.co/WF8VKEQAcV https://t.co/rWaHrRwYLK,Neutral,Neutral
Confirming goods out going out of stock from food store Someone is making a lot of pasta,Positive,Neutral
Local grocery stores as well as Bigbasket running out of the very basic food items (includes bread and eggs) is my first personal real panic since covid-19 hit Ye Mumbai ki upper class families ko sab kuch hoard karne ka kya shauk hai?,Negative,Negative
"Locust swarms in East Africa&amp;South Asia, COVID19: a grim start to the decade. Pandemics, incl SARS, avianflu &amp; MERS, led 2 food price ?? &amp; market panic. Fortunately, so far, no major signs that COVID19 causing food shortages/price hikes. Not even in China
https://t.co/yREegVW49c",Negative,Negative
Lots of people are online shopping because of #coronavirus meaning fewer delivery slots available for vulnerable people who have been told to self-isolate. Delivery companies should be implementing a flagging system to prioritise vulnerable people at this time.,Negative,Negative
,,
,,
,,
Iragarpenak Sare Neuronala erabiliz,,
,,
Testua,Iragarpena,Benetazko Balioa
"Coronavirus Australia: Woolworths to give elderly, disabled dedicated shopping hours amid COVID-19 outbreak https://t.co/bInCA9Vp8P",Positive,Positive
"Me: I don't need to stock up on food, I'll just have Amazon deliver whatever I need #CoronaVirus Amazon: https://t.co/8YWaKFjExC",Postive,Positive
As many preparing for the uncertain times ahead with what are we going to do w the food we have bought We are going to have to get creative w o buying extra I ve set up a Facebook group called Stock Cupboard Cooking for ideas,Negative,Positive
"Was at the supermarket today. Didn't buy toilet paper. #Rebel
#toiletpapercrisis #covid_19 https://t.co/eVXkQLIdAZ",Neutral,Neutral
I may not have been the only person to spot the connection #charmincorona https://t.co/WF8VKEQAcV https://t.co/rWaHrRwYLK,Neutral,Neutral
Confirming goods out going out of stock from food store Someone is making a lot of pasta,Positive,Neutral
Local grocery stores as well as Bigbasket running out of the very basic food items (includes bread and eggs) is my first personal real panic since covid-19 hit Ye Mumbai ki upper class families ko sab kuch hoard karne ka kya shauk hai?,Negative,Negative
"Locust swarms in East Africa&amp;South Asia, COVID19: a grim start to the decade. Pandemics, incl SARS, avianflu &amp; MERS, led 2 food price ?? &amp; market panic. Fortunately, so far, no major signs that COVID19 causing food shortages/price hikes. Not even in China
https://t.co/yREegVW49c",Negative,Negative
Lots of people are online shopping because of #coronavirus meaning fewer delivery slots available for vulnerable people who have been told to self-isolate. Delivery companies should be implementing a flagging system to prioritise vulnerable people at this time.,Negative,Negative
